Gender,Age,Health Tier,Coverage Amount,Monthly Premium ($)
Male,62,Eagle Select 1,38000,165.4
Male,62,Eagle Select 1,39000,169.33
Male,62,Eagle Select 1,40000,173.26
Male,63,Eagle Select 1,21000,98.59
Male,63,Eagle Select 1,22000,102.52
Male,63,Eagle Select 1,23000,106.45
Male,63,Eagle Select 1,24000,110.38
Male,63,Eagle Select 1,25000,114.31
Male,63,Eagle Select 1,26000,118.24
Male,63,Eagle Select 1,27000,122.17
Male,63,Eagle Select 1,28000,126.1
Male,63,Eagle Select 1,29000,130.03
Male,63,Eagle Select 1,30000,133.96
Male,63,Eagle Select 1,31000,137.89
Male,63,Eagle Select 1,32000,141.82
Male,63,Eagle Select 1,33000,145.75
Male,63,Eagle Select 1,34000,149.68
Male,63,Eagle Select 1,35000,153.61
Male,63,Eagle Select 1,36000,157.54
Male,63,Eagle Select 1,37000,161.47
Male,63,Eagle Select 1,38000,165.4
Male,63,Eagle Select 1,39000,169.33
Male,63,Eagle Select 1,40000,173.26
Male,64,Eagle Select 1,21000,108.8
Male,64,Eagle Select 1,22000,112.73
Male,64,Eagle Select 1,23000,116.66
Male,64,Eagle Select 1,24000,120.59
Male,64,Eagle Select 1,25000,124.52
Male,64,Eagle Select 1,26000,128.45
Male,64,Eagle Select 1,27000,132.38
Male,64,Eagle Select 1,28000,136.31
Male,64,Eagle Select 1,29000,140.24
Male,64,Eagle Select 1,30000,144.17
Male,64,Eagle Select 1,31000,148.1
Male,64,Eagle Select 1,32000,152.03
Male,64,Eagle Select 1,33000,155.96
Male,64,Eagle Select 1,34000,159.89
Male,64,Eagle Select 1,35000,163.82
Male,64,Eagle Select 1,36000,167.75
Male,64,Eagle Select 1,37000,171.68
Male,64,Eagle Select 1,38000,175.61
Male,64,Eagle Select 1,39000,179.54
Male,64,Eagle Select 1,40000,183.47
Male,65,Eagle Select 1,21000,108.8
Male,65,Eagle Select 1,22000,112.73
Male,65,Eagle Select 1,23000,116.66
Male,65,Eagle Select 1,24000,120.59
Male,65,Eagle Select 1,25000,124.52
Male,65,Eagle Select 1,26000,128.45
Male,65,Eagle Select 1,27000,132.38
Male,65,Eagle Select 1,28000,136.31
Male,65,Eagle Select 1,29000,140.24
Male,65,Eagle Select 1,30000,144.17
Male,65,Eagle Select 1,31000,148.1
Male,65,Eagle Select 1,32000,152.03
Male,65,Eagle Select 1,33000,155.96
Male,65,Eagle Select 1,34000,159.89
Male,65,Eagle Select 1,35000,163.82
Male,65,Eagle Select 1,36000,167.75
Male,65,Eagle Select 1,37000,171.68
Male,65,Eagle Select 1,38000,175.61
Male,65,Eagle Select 1,39000,179.54
Male,65,Eagle Select 1,40000,183.47
Male,66,Eagle Select 1,21000,121.27
Male,66,Eagle Select 1,22000,125.2
Male,66,Eagle Select 1,23000,129.13
Male,66,Eagle Select 1,24000,133.06
Male,66,Eagle Select 1,25000,136.99
Male,66,Eagle Select 1,26000,140.92
Male,66,Eagle Select 1,27000,144.85
Male,66,Eagle Select 1,28000,148.78
Male,66,Eagle Select 1,29000,152.71
Male,66,Eagle Select 1,30000,156.64
Male,66,Eagle Select 1,31000,160.57
Male,66,Eagle Select 1,32000,164.5
Male,66,Eagle Select 1,33000,168.43
Male,66,Eagle Select 1,34000,172.36
Male,66,Eagle Select 1,35000,176.29
Male,66,Eagle Select 1,36000,180.22
Male,66,Eagle Select 1,37000,184.15
Male,66,Eagle Select 1,38000,188.08
Male,66,Eagle Select 1,39000,192.01
Male,66,Eagle Select 1,40000,195.94
Male,67,Eagle Select 1,21000,121.27
Male,67,Eagle Select 1,22000,125.2
Male,67,Eagle Select 1,23000,129.13
Male,67,Eagle Select 1,24000,133.06
Male,67,Eagle Select 1,25000,136.99
Male,67,Eagle Select 1,26000,140.92
Male,67,Eagle Select 1,27000,144.85
Male,67,Eagle Select 1,28000,148.78
Male,67,Eagle Select 1,29000,152.71
Male,67,Eagle Select 1,30000,156.64
Male,67,Eagle Select 1,31000,160.57
Male,67,Eagle Select 1,32000,164.5
Male,67,Eagle Select 1,33000,168.43
Male,67,Eagle Select 1,34000,172.36
Male,67,Eagle Select 1,35000,176.29
Male,67,Eagle Select 1,36000,180.22
Male,67,Eagle Select 1,37000,184.15
Male,67,Eagle Select 1,38000,188.08
Male,67,Eagle Select 1,39000,192.01
Male,67,Eagle Select 1,40000,195.94
Male,68,Eagle Select 1,21000,137.68
Male,68,Eagle Select 1,22000,141.61
Male,68,Eagle Select 1,23000,145.54
Male,68,Eagle Select 1,24000,149.47
Male,68,Eagle Select 1,25000,153.4
Male,68,Eagle Select 1,26000,157.33
Male,68,Eagle Select 1,27000,161.26
Male,68,Eagle Select 1,28000,165.19
Male,68,Eagle Select 1,29000,169.12
Male,68,Eagle Select 1,30000,173.05
Male,68,Eagle Select 1,31000,176.98
Male,68,Eagle Select 1,32000,180.91
Male,68,Eagle Select 1,33000,184.84
Male,68,Eagle Select 1,34000,188.77
Male,68,Eagle Select 1,35000,192.7
Male,68,Eagle Select 1,36000,196.63
Male,68,Eagle Select 1,37000,200.56
Male,68,Eagle Select 1,38000,204.49
Male,68,Eagle Select 1,39000,208.42
Male,68,Eagle Select 1,40000,212.35
Male,69,Eagle Select 1,21000,137.68
Male,69,Eagle Select 1,22000,141.61
Male,69,Eagle Select 1,23000,145.54
Male,69,Eagle Select 1,24000,149.47
Male,69,Eagle Select 1,25000,153.4
Male,69,Eagle Select 1,26000,157.33
Male,69,Eagle Select 1,27000,161.26
Male,69,Eagle Select 1,28000,165.19
Male,69,Eagle Select 1,29000,169.12
Male,69,Eagle Select 1,30000,173.05
Male,69,Eagle Select 1,31000,176.98
Male,69,Eagle Select 1,32000,180.91
Male,69,Eagle Select 1,33000,184.84
Male,69,Eagle Select 1,34000,188.77
Male,69,Eagle Select 1,35000,192.7
Male,69,Eagle Select 1,36000,196.63
Male,69,Eagle Select 1,37000,200.56
Male,69,Eagle Select 1,38000,204.49
Male,69,Eagle Select 1,39000,208.42
Male,69,Eagle Select 1,40000,212.35
Male,70,Eagle Select 1,21000,155.92
Male,70,Eagle Select 1,22000,159.85
Male,70,Eagle Select 1,23000,163.78
Male,70,Eagle Select 1,24000,167.71
Male,70,Eagle Select 1,25000,171.64
Male,70,Eagle Select 1,26000,175.57
Male,70,Eagle Select 1,27000,179.5
Male,70,Eagle Select 1,28000,183.43
Male,70,Eagle Select 1,29000,187.36
Male,70,Eagle Select 1,30000,191.29
Male,70,Eagle Select 1,31000,195.22
Male,70,Eagle Select 1,32000,199.15
Male,70,Eagle Select 1,33000,203.08
Male,70,Eagle Select 1,34000,207.01
Male,70,Eagle Select 1,35000,210.94
Male,70,Eagle Select 1,36000,214.87
Male,70,Eagle Select 1,37000,218.8
Male,70,Eagle Select 1,38000,222.73
Male,70,Eagle Select 1,39000,226.66
Male,70,Eagle Select 1,40000,230.59
Male,71,Eagle Select 1,21000,155.92
Male,71,Eagle Select 1,22000,159.85
Male,71,Eagle Select 1,23000,163.78
Male,71,Eagle Select 1,24000,167.71
Male,71,Eagle Select 1,25000,171.64
Male,71,Eagle Select 1,26000,175.57
Male,71,Eagle Select 1,27000,179.5
Male,71,Eagle Select 1,28000,183.43
Male,71,Eagle Select 1,29000,187.36
Male,71,Eagle Select 1,30000,191.29
Male,71,Eagle Select 1,31000,195.22
Male,71,Eagle Select 1,32000,199.15
Male,71,Eagle Select 1,33000,203.08
Male,71,Eagle Select 1,34000,207.01
Male,71,Eagle Select 1,35000,210.94
Male,71,Eagle Select 1,36000,214.87
Male,71,Eagle Select 1,37000,218.8
Male,71,Eagle Select 1,38000,222.73
Male,71,Eagle Select 1,39000,226.66
Male,71,Eagle Select 1,40000,230.59
Male,72,Eagle Select 1,21000,178.58
Male,72,Eagle Select 1,22000,182.51
Male,72,Eagle Select 1,23000,186.44
Male,72,Eagle Select 1,24000,190.37
Male,72,Eagle Select 1,25000,194.3
Male,72,Eagle Select 1,26000,198.23
Male,72,Eagle Select 1,27000,202.16
Male,72,Eagle Select 1,28000,206.09
Male,72,Eagle Select 1,29000,210.02
Male,72,Eagle Select 1,30000,213.95
Male,72,Eagle Select 1,31000,217.88
Male,72,Eagle Select 1,32000,221.81
Male,72,Eagle Select 1,33000,225.74
Male,72,Eagle Select 1,34000,229.67
Male,72,Eagle Select 1,35000,233.6
Male,72,Eagle Select 1,36000,237.53
Male,72,Eagle Select 1,37000,241.46
Male,72,Eagle Select 1,38000,245.39
Male,72,Eagle Select 1,39000,249.32
Male,72,Eagle Select 1,40000,253.25
Male,73,Eagle Select 1,21000,178.58
Male,73,Eagle Select 1,22000,182.51
Male,73,Eagle Select 1,23000,186.44
Male,73,Eagle Select 1,24000,190.37
Male,73,Eagle Select 1,25000,194.3
Male,73,Eagle Select 1,26000,198.23
Male,73,Eagle Select 1,27000,202.16
Male,73,Eagle Select 1,28000,206.09
Male,73,Eagle Select 1,29000,210.02
Male,73,Eagle Select 1,30000,213.95
Male,73,Eagle Select 1,31000,217.88
Male,73,Eagle Select 1,32000,221.81
Male,73,Eagle Select 1,33000,225.74
Male,73,Eagle Select 1,34000,229.67
Male,73,Eagle Select 1,35000,233.6
Male,73,Eagle Select 1,36000,237.53
Male,73,Eagle Select 1,37000,241.46
Male,73,Eagle Select 1,38000,245.39
Male,73,Eagle Select 1,39000,249.32
Male,73,Eagle Select 1,40000,253.25
Male,74,Eagle Select 1,21000,206.89
Male,74,Eagle Select 1,22000,210.82
Male,74,Eagle Select 1,23000,214.75
Male,74,Eagle Select 1,24000,218.68
Male,74,Eagle Select 1,25000,222.61
Male,74,Eagle Select 1,26000,226.54
Male,74,Eagle Select 1,27000,230.47
Male,74,Eagle Select 1,28000,234.4
Male,74,Eagle Select 1,29000,238.33
Male,74,Eagle Select 1,30000,242.26
Male,74,Eagle Select 1,31000,246.19
Male,74,Eagle Select 1,32000,250.12
Male,74,Eagle Select 1,33000,254.05
Male,74,Eagle Select 1,34000,257.98
Male,74,Eagle Select 1,35000,261.91
Male,74,Eagle Select 1,36000,265.84
Male,74,Eagle Select 1,37000,269.77
Male,74,Eagle Select 1,38000,273.7
Male,74,Eagle Select 1,39000,277.63
Male,74,Eagle Select 1,40000,281.56
Male,75,Eagle Select 1,21000,206.89
Male,75,Eagle Select 1,22000,210.82
Male,75,Eagle Select 1,23000,214.75
Male,75,Eagle Select 1,24000,218.68
Male,75,Eagle Select 1,25000,222.61
Male,75,Eagle Select 1,26000,226.54
Male,75,Eagle Select 1,27000,230.47
Male,75,Eagle Select 1,28000,234.4
Male,75,Eagle Select 1,29000,238.33
Male,75,Eagle Select 1,30000,242.26
Male,75,Eagle Select 1,31000,246.19
Male,75,Eagle Select 1,32000,250.12
Male,75,Eagle Select 1,33000,254.05
Male,75,Eagle Select 1,34000,257.98
Male,75,Eagle Select 1,35000,261.91
Male,75,Eagle Select 1,36000,265.84
Male,75,Eagle Select 1,37000,269.77
Male,75,Eagle Select 1,38000,273.7
Male,75,Eagle Select 1,39000,277.63
Male,75,Eagle Select 1,40000,281.56
Male,76,Eagle Select 1,21000,239.95
Male,76,Eagle Select 1,22000,243.88
Male,76,Eagle Select 1,23000,247.81
Male,76,Eagle Select 1,24000,251.74
Male,76,Eagle Select 1,25000,255.67
Male,76,Eagle Select 1,26000,259.6
Male,76,Eagle Select 1,27000,263.53
Male,76,Eagle Select 1,28000,267.46
Male,76,Eagle Select 1,29000,271.39
Male,76,Eagle Select 1,30000,275.32
Male,76,Eagle Select 1,31000,279.25
Male,76,Eagle Select 1,32000,283.18
Male,76,Eagle Select 1,33000,287.11
Male,76,Eagle Select 1,34000,291.04
Male,76,Eagle Select 1,35000,294.97
Male,76,Eagle Select 1,36000,298.9
Male,76,Eagle Select 1,37000,302.83
Male,76,Eagle Select 1,38000,306.76
Male,76,Eagle Select 1,39000,310.69
Male,76,Eagle Select 1,40000,314.62
Male,77,Eagle Select 1,21000,239.95
Male,77,Eagle Select 1,22000,243.88
Male,77,Eagle Select 1,23000,247.81
Male,77,Eagle Select 1,24000,251.74
Male,77,Eagle Select 1,25000,255.67
Male,77,Eagle Select 1,26000,259.6
Male,77,Eagle Select 1,27000,263.53
Male,77,Eagle Select 1,28000,267.46
Male,77,Eagle Select 1,29000,271.39
Male,77,Eagle Select 1,30000,275.32
Male,77,Eagle Select 1,31000,279.25
Male,77,Eagle Select 1,32000,283.18
Male,77,Eagle Select 1,33000,287.11
Male,77,Eagle Select 1,34000,291.04
Male,77,Eagle Select 1,35000,294.97
Male,77,Eagle Select 1,36000,298.9
Male,77,Eagle Select 1,37000,302.83
Male,77,Eagle Select 1,38000,306.76
Male,77,Eagle Select 1,39000,310.69
Male,77,Eagle Select 1,40000,314.62
Male,78,Eagle Select 1,21000,278.38
Male,78,Eagle Select 1,22000,282.31
Male,78,Eagle Select 1,23000,286.24
Male,78,Eagle Select 1,24000,290.17
Male,78,Eagle Select 1,25000,294.1
Male,78,Eagle Select 1,26000,298.03
Male,78,Eagle Select 1,27000,301.96
Male,78,Eagle Select 1,28000,305.89
Male,78,Eagle Select 1,29000,309.82
Male,78,Eagle Select 1,30000,313.75
Male,78,Eagle Select 1,31000,317.68
Male,78,Eagle Select 1,32000,321.61
Male,78,Eagle Select 1,33000,325.54
Male,78,Eagle Select 1,34000,329.47
Male,78,Eagle Select 1,35000,333.4
Male,78,Eagle Select 1,36000,337.33
Male,78,Eagle Select 1,37000,341.26
Male,78,Eagle Select 1,38000,345.19
Male,78,Eagle Select 1,39000,349.12
Male,78,Eagle Select 1,40000,353.05
Male,79,Eagle Select 1,21000,278.38
Male,79,Eagle Select 1,22000,282.31
Male,79,Eagle Select 1,23000,286.24
Male,79,Eagle Select 1,24000,290.17
Male,79,Eagle Select 1,25000,294.1
Male,79,Eagle Select 1,26000,298.03
Male,79,Eagle Select 1,27000,301.96
Male,79,Eagle Select 1,28000,305.89
Male,79,Eagle Select 1,29000,309.82
Male,79,Eagle Select 1,30000,313.75
Male,79,Eagle Select 1,31000,317.68
Male,79,Eagle Select 1,32000,321.61
Male,79,Eagle Select 1,33000,325.54
Male,79,Eagle Select 1,34000,329.47
Male,79,Eagle Select 1,35000,333.4
Male,79,Eagle Select 1,36000,337.33
Male,79,Eagle Select 1,37000,341.26
Male,79,Eagle Select 1,38000,345.19
Male,79,Eagle Select 1,39000,349.12
Male,79,Eagle Select 1,40000,353.05
Male,80,Eagle Select 1,21000,318.04
Male,80,Eagle Select 1,22000,321.97
Male,80,Eagle Select 1,23000,325.9
Male,80,Eagle Select 1,24000,329.83
Male,80,Eagle Select 1,25000,333.76
Male,80,Eagle Select 1,26000,337.69
Male,80,Eagle Select 1,27000,341.62
Male,80,Eagle Select 1,28000,345.55
Male,80,Eagle Select 1,29000,349.48
Male,80,Eagle Select 1,30000,353.41
Male,80,Eagle Select 1,31000,357.34
Male,80,Eagle Select 1,32000,361.27
Male,80,Eagle Select 1,33000,365.2
Male,80,Eagle Select 1,34000,369.13
Male,80,Eagle Select 1,35000,373.06
Male,80,Eagle Select 1,36000,376.99
Male,80,Eagle Select 1,37000,380.92
Male,80,Eagle Select 1,38000,384.85
Male,80,Eagle Select 1,39000,388.78
Male,80,Eagle Select 1,40000,392.71
Male,60,Eagle Select 1,21000,84.42
Male,60,Eagle Select 1,22000,88.84
Male,60,Eagle Select 1,23000,93.26
Male,60,Eagle Select 1,24000,97.68
Male,60,Eagle Select 1,25000,102.1
Male,60,Eagle Select 1,26000,106.52
Male,60,Eagle Select 1,27000,110.94
Male,60,Eagle Select 1,28000,115.36
Male,60,Eagle Select 1,29000,119.78
Male,60,Eagle Select 1,30000,124.2
Male,60,Eagle Select 1,31000,128.62
Male,60,Eagle Select 1,32000,133.04
Male,60,Eagle Select 1,33000,137.46
Male,60,Eagle Select 1,34000,141.88
Male,60,Eagle Select 1,35000,146.3
Male,60,Eagle Select 1,36000,150.72
Male,60,Eagle Select 1,37000,155.14
Male,60,Eagle Select 1,38000,159.56
Male,60,Eagle Select 1,39000,163.98
Male,60,Eagle Select 1,40000,168.4
Male,61,Eagle Select 1,21000,84.42
Male,61,Eagle Select 1,22000,88.84
Male,61,Eagle Select 1,23000,93.26
Male,61,Eagle Select 1,24000,97.68
Male,61,Eagle Select 1,25000,102.1
Male,61,Eagle Select 1,26000,106.52
Male,61,Eagle Select 1,27000,110.94
Male,61,Eagle Select 1,28000,115.36
Male,61,Eagle Select 1,29000,119.78
Male,61,Eagle Select 1,30000,124.2
Male,61,Eagle Select 1,31000,128.62
Male,61,Eagle Select 1,32000,133.04
Male,61,Eagle Select 1,33000,137.46
Male,61,Eagle Select 1,34000,141.88
Male,61,Eagle Select 1,35000,146.3
Male,61,Eagle Select 1,36000,150.72
Male,61,Eagle Select 1,37000,155.14
Male,61,Eagle Select 1,38000,159.56
Male,61,Eagle Select 1,39000,163.98
Male,61,Eagle Select 1,40000,168.4
Male,62,Eagle Select 1,21000,96.63
Male,62,Eagle Select 1,22000,101.05
Male,62,Eagle Select 1,23000,105.47
Male,62,Eagle Select 1,24000,109.89
Male,62,Eagle Select 1,25000,114.31
Male,62,Eagle Select 1,26000,118.73
Male,62,Eagle Select 1,27000,123.15
Male,62,Eagle Select 1,28000,127.57
Male,62,Eagle Select 1,29000,131.99
Male,62,Eagle Select 1,30000,136.41
Male,62,Eagle Select 1,31000,140.83
Male,62,Eagle Select 1,32000,145.25
Male,62,Eagle Select 1,33000,149.67
Male,62,Eagle Select 1,34000,154.09
Male,62,Eagle Select 1,35000,158.51
Male,62,Eagle Select 1,36000,162.93
Male,62,Eagle Select 1,37000,167.35
Male,62,Eagle Select 1,38000,171.77
Male,62,Eagle Select 1,39000,176.19
Male,62,Eagle Select 1,40000,180.61
Male,63,Eagle Select 1,21000,96.63
Male,63,Eagle Select 1,22000,101.05
Male,63,Eagle Select 1,23000,105.47
Male,63,Eagle Select 1,24000,109.89
Male,63,Eagle Select 1,25000,114.31
Male,63,Eagle Select 1,26000,118.73
Male,63,Eagle Select 1,27000,123.15
Male,63,Eagle Select 1,28000,127.57
Male,63,Eagle Select 1,29000,131.99
Male,63,Eagle Select 1,30000,136.41
Male,63,Eagle Select 1,31000,140.83
Male,63,Eagle Select 1,32000,145.25
Male,63,Eagle Select 1,33000,149.67
Male,63,Eagle Select 1,34000,154.09
Male,63,Eagle Select 1,35000,158.51
Male,63,Eagle Select 1,36000,162.93
Male,63,Eagle Select 1,37000,167.35
Male,63,Eagle Select 1,38000,171.77
Male,63,Eagle Select 1,39000,176.19
Male,63,Eagle Select 1,40000,180.61
Male,64,Eagle Select 1,21000,106.84
Male,64,Eagle Select 1,22000,111.26
Male,64,Eagle Select 1,23000,115.68
Male,64,Eagle Select 1,24000,120.1
Male,64,Eagle Select 1,25000,124.52
Male,64,Eagle Select 1,26000,128.94
Male,64,Eagle Select 1,27000,133.36
Male,64,Eagle Select 1,28000,137.78
Male,64,Eagle Select 1,29000,142.2
Male,64,Eagle Select 1,30000,146.62
Male,64,Eagle Select 1,31000,151.04
Male,64,Eagle Select 1,32000,155.46
Male,64,Eagle Select 1,33000,159.88
Male,64,Eagle Select 1,34000,164.3
Male,64,Eagle Select 1,35000,168.72
Male,64,Eagle Select 1,36000,173.14
Male,64,Eagle Select 1,37000,177.56
Male,64,Eagle Select 1,38000,181.98
Male,64,Eagle Select 1,39000,186.4
Male,64,Eagle Select 1,40000,190.82
Male,65,Eagle Select 1,21000,106.84
Male,65,Eagle Select 1,22000,111.26
Male,65,Eagle Select 1,23000,115.68
Male,65,Eagle Select 1,24000,120.1
Male,65,Eagle Select 1,25000,124.52
Male,65,Eagle Select 1,26000,128.94
Male,65,Eagle Select 1,27000,133.36
Male,65,Eagle Select 1,28000,137.78
Male,65,Eagle Select 1,29000,142.2
Male,65,Eagle Select 1,30000,146.62
Male,65,Eagle Select 1,31000,151.04
Male,65,Eagle Select 1,32000,155.46
Male,65,Eagle Select 1,33000,159.88
Male,65,Eagle Select 1,34000,164.3
Male,65,Eagle Select 1,35000,168.72
Male,65,Eagle Select 1,36000,173.14
Male,65,Eagle Select 1,37000,177.56
Male,65,Eagle Select 1,38000,181.98
Male,65,Eagle Select 1,39000,186.4
Male,65,Eagle Select 1,40000,190.82
Male,66,Eagle Select 1,21000,119.31
Male,66,Eagle Select 1,22000,123.73
Male,66,Eagle Select 1,23000,128.15
Male,66,Eagle Select 1,24000,132.57
Male,66,Eagle Select 1,25000,136.99
Male,66,Eagle Select 1,26000,141.41
Male,66,Eagle Select 1,27000,145.83
Male,66,Eagle Select 1,28000,150.25
Male,66,Eagle Select 1,29000,154.67
Male,66,Eagle Select 1,30000,159.09
Male,66,Eagle Select 1,31000,163.51
Male,66,Eagle Select 1,32000,167.93
Male,66,Eagle Select 1,33000,172.35
Male,66,Eagle Select 1,34000,176.77
Male,66,Eagle Select 1,35000,181.19
Male,66,Eagle Select 1,36000,185.61
Male,66,Eagle Select 1,37000,190.03
Male,66,Eagle Select 1,38000,194.45
Male,66,Eagle Select 1,39000,198.87
Male,66,Eagle Select 1,40000,203.29
Male,67,Eagle Select 1,21000,119.31
Male,67,Eagle Select 1,22000,123.73
Male,67,Eagle Select 1,23000,128.15
Male,67,Eagle Select 1,24000,132.57
Male,67,Eagle Select 1,25000,136.99
Male,67,Eagle Select 1,26000,141.41
Male,67,Eagle Select 1,27000,145.83
Male,67,Eagle Select 1,28000,150.25
Male,67,Eagle Select 1,29000,154.67
Male,67,Eagle Select 1,30000,159.09
Male,67,Eagle Select 1,31000,163.51
Male,67,Eagle Select 1,32000,167.93
Male,67,Eagle Select 1,33000,172.35
Male,67,Eagle Select 1,34000,176.77
Male,67,Eagle Select 1,35000,181.19
Male,67,Eagle Select 1,36000,185.61
Male,67,Eagle Select 1,37000,190.03
Male,67,Eagle Select 1,38000,194.45
Male,67,Eagle Select 1,39000,198.87
Male,67,Eagle Select 1,40000,203.29
Male,68,Eagle Select 1,21000,135.72
Male,68,Eagle Select 1,22000,140.14
Male,68,Eagle Select 1,23000,144.56
Male,68,Eagle Select 1,24000,148.98
Male,68,Eagle Select 1,25000,153.4
Male,68,Eagle Select 1,26000,157.82
Male,68,Eagle Select 1,27000,162.24
Male,68,Eagle Select 1,28000,166.66
Male,68,Eagle Select 1,29000,171.08
Male,68,Eagle Select 1,30000,175.5
Male,68,Eagle Select 1,31000,179.92
Male,68,Eagle Select 1,32000,184.34
Male,68,Eagle Select 1,33000,188.76
Male,68,Eagle Select 1,34000,193.18
Male,68,Eagle Select 1,35000,197.6
Male,68,Eagle Select 1,36000,202.02
Male,68,Eagle Select 1,37000,206.44
Male,68,Eagle Select 1,38000,210.86
Male,68,Eagle Select 1,39000,215.28
Male,68,Eagle Select 1,40000,219.7
Male,69,Eagle Select 1,21000,135.72
Male,69,Eagle Select 1,22000,140.14
Male,69,Eagle Select 1,23000,144.56
Male,69,Eagle Select 1,24000,148.98
Male,69,Eagle Select 1,25000,153.4
Male,69,Eagle Select 1,26000,157.82
Male,69,Eagle Select 1,27000,162.24
Male,69,Eagle Select 1,28000,166.66
Male,69,Eagle Select 1,29000,171.08
Male,69,Eagle Select 1,30000,175.5
Male,69,Eagle Select 1,31000,179.92
Male,69,Eagle Select 1,32000,184.34
Male,69,Eagle Select 1,33000,188.76
Male,69,Eagle Select 1,34000,193.18
Male,69,Eagle Select 1,35000,197.6
Male,69,Eagle Select 1,36000,202.02
Male,69,Eagle Select 1,37000,206.44
Male,69,Eagle Select 1,38000,210.86
Male,69,Eagle Select 1,39000,215.28
Male,69,Eagle Select 1,40000,219.7
Male,70,Eagle Select 1,21000,153.96
Male,70,Eagle Select 1,22000,158.38
Male,70,Eagle Select 1,23000,162.8
Male,70,Eagle Select 1,24000,167.22
Male,70,Eagle Select 1,25000,171.64
Male,70,Eagle Select 1,26000,176.06
Male,70,Eagle Select 1,27000,180.48
Male,70,Eagle Select 1,28000,184.9
Male,70,Eagle Select 1,29000,189.32
Male,70,Eagle Select 1,30000,193.74
Male,70,Eagle Select 1,31000,198.16
Male,70,Eagle Select 1,32000,202.58
Male,70,Eagle Select 1,33000,207.0
Male,70,Eagle Select 1,34000,211.42
Male,70,Eagle Select 1,35000,215.84
Male,70,Eagle Select 1,36000,220.26
Male,70,Eagle Select 1,37000,224.68
Male,70,Eagle Select 1,38000,229.1
Male,70,Eagle Select 1,39000,233.52
Male,70,Eagle Select 1,40000,237.94
Male,71,Eagle Select 1,21000,153.96
Male,71,Eagle Select 1,22000,158.38
Male,71,Eagle Select 1,23000,162.8
Male,71,Eagle Select 1,24000,167.22
Male,71,Eagle Select 1,25000,171.64
Male,71,Eagle Select 1,26000,176.06
Male,71,Eagle Select 1,27000,180.48
Male,71,Eagle Select 1,28000,184.9
Male,71,Eagle Select 1,29000,189.32
Male,71,Eagle Select 1,30000,193.74
Male,71,Eagle Select 1,31000,198.16
Male,71,Eagle Select 1,32000,202.58
Male,71,Eagle Select 1,33000,207.0
Male,71,Eagle Select 1,34000,211.42
Male,71,Eagle Select 1,35000,215.84
Male,71,Eagle Select 1,36000,220.26
Male,71,Eagle Select 1,37000,224.68
Male,71,Eagle Select 1,38000,229.1
Male,71,Eagle Select 1,39000,233.52
Male,71,Eagle Select 1,40000,237.94
Male,72,Eagle Select 1,21000,176.62
Male,72,Eagle Select 1,22000,181.04
Male,72,Eagle Select 1,23000,185.46
